Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,Citation Impact,Average Percentile,Journal Normalized Citation Impact,Impact Relative to World
PATHOLOGY,1,10,104,100.0,1.2029,10.0,73.8058,0.2,0.2455095379563756
SOCIOLOGY,1,10,104,100.0,2.8366000000000002,10.0,90.0377,0.27,0.2455095379563756
"ENGINEERING, MECHANICAL",1,8,106,100.0,1.0011,8.0,65.2527,0.22,0.19640763036510048
MATHEMATICS,1,7,107,100.0,2.0321000000000002,7.0,85.4942,0.14,0.1718566765694629
"PHYSICS, MATHEMATICAL",1,7,107,100.0,1.2253,7.0,73.85210000000001,0.19,0.1718566765694629
"COMPUTER SCIENCE, THEORY & METHODS",1,5,109,100.0,0.6513,5.0,62.3177,0.14,0.1227547689781878
"MATHEMATICS, APPLIED",1,4,110,100.0,0.7181000000000001,4.0,58.703900000000004,0.08,0.09820381518255024
ORNITHOLOGY,1,1,111,100.0,0.3309,1.0,43.478300000000004,0.04,0.02455095379563756
SURGERY,2,1,111,50.0,0.53335,0.5,28.2112,0.5,0.01227547689781878

Filter Summary:
Dataset: Web of Science 25082021:072735 + ESCI
Schema:  Web of Science
="Domestic/International Collaboration:  All"
"Time Period:  [2016, 2020]"
Funding Data Source:  All Sources

"Exported date  Aug 25, 2021. "
"InCites dataset updated  2021-07-30. Includes Web of Science content indexed through 2021-06-30. "

